aioli,aïoli
Bootes,Boötes
Bronte,Brontë
cacoepistic,cacoëpistic
caique,caïque
caiquejee,caïquejee
Citroen,Citroën
continuum,continuüm
cooccurr,coöccurr
cooccurrence,coöccurrence
coop,coöp
cooped,coöped
cooperate,coöperate
cooperation,coöperation
cooperative,coöperative
cooperator,coöperator
coops,coöps
coopt,coöpt
coopted,coöpted
coopting,coöpting
cooption,coöption
coordinate,coördinate
coordinated,coördinated
coordinateing,coördinateing
coordination,coördination
coordinator,coördinator
coordinators,coördinators
coossify,coössify
Creusa,Creüsa
dais,daïs
demosaicking,demosaïcking
faience,faïence
faroelite,faröelite
haliaeetos,haliæëtos
hyperoodon,hyperoödon
intraatomic,intraätomic
langue d'oil,langue d’oïl
Laocoon,Laocoön
Moet,Moët
monoideism,monoïdeism
mosaic,mosaïc
naif,naïf
naive,naïve
naivete,naïveté
Noel,Noël
noone,noöne
oocyte,oöcyte
oology,oölogy
opium,opïum
palaeooceanography,palaeoöceanography
paleooceanography,paleoöceanography
panzooty,panzoöty
preeminent,preëminent
preeminently,preëminently
preempt,preëmpt
preemption,preëmption
preemptive,preëmptive
prooxidant,proöxidant
reelect,reëlect
reelected,reëlected
reelecting,reëlecting
reemergence,reëmergence
reenact,reënact
reenter,reënter
reentered,reëntered
reentering,reëntering
reestablish,reëstablish
reestablished,reëstablished
reestablishing,reëstablishing
reexamine,reëxamine
reinvent,reïnvent
residuum,residuüm
role,rôle
Thais,Thaïs
vacuum,vacuüm
Zaire,Zaïre
Zoe,Zoë
zoological,zoölogical
zoology,zoölogy